ICD10,number
C8206,2001
C8207,2002
C8208,2003
C8209,2004
C8210,2005
C8211,2006
and,2007
C8212,2008
C8213,2009
C8214,2010
upper,2011
C8215,2012
and,2013
C8216,2014
C8217,2015
C8218,2016
C8219,2017
C8220,2018
C8221,2019
"face,",2020
C8222,2021
C8223,2022
C8224,2023
and,2024
C8225,2025
region,2026
C8226,2027
C8227,2028
C8228,2029
sites,2030
C8229,2031
sites,2032
C8230,2033
C8231,2034
and,2035
C8232,2036
C8233,2037
C8234,2038
upper,2039
C8235,2040
and,2041
C8236,2042
C8237,2043
C8238,2044
C8239,2045
C8240,2046
C8241,2047
and,2048
C8242,2049
C8243,2050
C8244,2051
upper,2052
C8245,2053
and,2054
C8246,2055
C8247,2056
C8248,2057
C8249,2058
C8250,2059
C8251,2060
and,2061
C8252,2062
C8253,2063
C8254,2064
upper,2065
C8255,2066
and,2067
C8256,2068
C8257,2069
C8258,2070
C8259,2071
C8260,2072
C8261,2073
and,2074
C8262,2075
C8263,2076
C8264,2077
upper,2078
C8265,2079
and,2080
C8266,2081
C8267,2082
C8268,2083
C8269,2084
C8280,2085
C8281,2086
"face,",2087
C8282,2088
C8283,2089
C8284,2090
and,2091
C8285,2092
region,2093
C8286,2094
C8287,2095
C8288,2096
sites,2097
C8289,2098
sites,2099
C8290,2100
C8291,2101
neck,2102
C8292,2103
C8293,2104
C8294,2105
limb,2106
C8295,2107
lower,2108
C8296,2109
C8297,2110
C8298,2111
C8299,2112
C8300,2113
C8301,2114
and,2115
C8302,2116
C8303,2117
C8304,2118
upper,2119
C8305,2120
and,2121
C8306,2122
C8307,2123
C8308,2124
C8309,2125
C8310,2126
C8311,2127
neck,2128
C8312,2129
C8313,2130
C8314,2131
limb,2132
C8315,2133
lower,2134
C8316,2135
C8317,2136
C8318,2137
C8319,2138
C8330,2139
C8331,2140
and,2141
C8332,2142
C8333,2143
C8334,2144
upper,2145
C8335,2146
and,2147
C8336,2148
C8337,2149
C8338,2150
C8339,2151
C8350,2152
C8351,2153
neck,2154
C8352,2155
C8353,2156
C8354,2157
limb,2158
C8355,2159
lower,2160
C8356,2161
C8357,2162
C8358,2163
C8359,2164
C8370,2165
C8371,2166
C8372,2167
C8373,2168
C8374,2169
C8375,2170
limb,2171
C8376,2172
C8377,2173
C8378,2174
C8379,2175
C8380,2176
C8381,2177
neck,2178
C8382,2179
C8383,2180
C8384,2181
limb,2182
C8385,2183
lower,2184
C8386,2185
C8387,2186
C8388,2187
C8389,2188
C8390,2189
C8391,2190
and,2191
C8392,2192
